num_levels,num_features,vector_dimension,bipolar_mode,precomputed_item_memory,use_genetic_item_memory,ga_selection_mode,ga_mutation_rate,n_gram_size,window,downsample,validation_ratio,overall_accuracy,class_average_accuracy,class_vector_similarity,correct,not_correct,transition_error,total,info
100,32,2048,0,1,1,0,0.200000,3,100,1,0.300000,0.98965517,0.98965517,0.28027344,287,3,0,290,"model=mine,scope=dataset,dataset=3,phase=postopt-test"
100,32,2048,0,1,1,0,0.200000,3,100,1,0.300000,0.91050808,0.91069233,0.42402344,0,0,0,0,"model=mine,scope=overall,phase=preopt-validation"
100,32,2048,0,1,1,0,0.200000,3,100,1,0.300000,0.93879310,0.93879310,0.42402344,0,0,0,0,"model=mine,scope=overall,phase=preopt-test"
100,32,2048,0,1,1,0,0.200000,3,100,1,0.300000,0.94396552,0.94396552,0.38208008,1095,65,0,1160,"model=mine,scope=overall,phase=postopt-test"
100,32,2048,0,1,1,0,0.200000,3,100,1,0.300000,0.93879908,0.93900027,0.38208008,0,0,0,0,"model=mine,scope=overall,phase=postopt-validation"
100,32,2048,0,1,1,0,0.200000,3,100,1,0.300000,0.88221709,0.88259824,0.26347656,382,51,0,433,"model=mine,scope=dataset,dataset=0,phase=preopt-validation"
100,32,2048,0,1,1,0,0.200000,3,100,1,0.300000,0.98620690,0.98620690,0.26347656,286,4,0,290,"model=mine,scope=dataset,dataset=0,phase=preopt-test"
100,32,2048,0,1,1,0,0.200000,3,100,1,0.300000,0.90531178,0.90561347,0.23789062,392,41,0,433,"model=mine,scope=dataset,dataset=0,phase=postopt-validation"
100,32,2048,0,1,1,0,0.200000,3,100,1,0.300000,0.98620690,0.98620690,0.23789062,286,4,0,290,"model=mine,scope=dataset,dataset=0,phase=postopt-test"
100,32,2048,0,1,1,0,0.200000,3,100,1,0.300000,0.96766744,0.96776263,0.78808594,419,14,0,433,"model=mine,scope=dataset,dataset=1,phase=preopt-validation"
100,32,2048,0,1,1,0,0.200000,3,100,1,0.300000,0.93448276,0.93448276,0.78808594,271,19,0,290,"model=mine,scope=dataset,dataset=1,phase=preopt-test"
100,32,2048,0,1,1,0,0.200000,3,100,1,0.300000,1.00000000,1.00000000,0.71875000,433,0,0,433,"model=mine,scope=dataset,dataset=1,phase=postopt-validation"
100,32,2048,0,1,1,0,0.200000,3,100,1,0.300000,0.96551724,0.96551724,0.71875000,280,10,0,290,"model=mine,scope=dataset,dataset=1,phase=postopt-test"
100,32,2048,0,1,1,0,0.200000,3,100,1,0.300000,0.80369515,0.80400962,0.28886719,348,85,0,433,"model=mine,scope=dataset,dataset=2,phase=preopt-validation"
100,32,2048,0,1,1,0,0.200000,3,100,1,0.300000,0.84482759,0.84482759,0.28886719,245,45,0,290,"model=mine,scope=dataset,dataset=2,phase=preopt-test"
100,32,2048,0,1,1,0,0.200000,3,100,1,0.300000,0.86374134,0.86426089,0.28476563,374,59,0,433,"model=mine,scope=dataset,dataset=2,phase=postopt-validation"
100,32,2048,0,1,1,0,0.200000,3,100,1,0.300000,0.86551724,0.86551724,0.28476563,251,39,0,290,"model=mine,scope=dataset,dataset=2,phase=postopt-test"
100,32,2048,0,1,1,0,0.200000,3,100,1,0.300000,0.98845266,0.98839882,0.35566406,428,5,0,433,"model=mine,scope=dataset,dataset=3,phase=preopt-validation"
100,32,2048,0,1,1,0,0.200000,3,100,1,0.300000,0.98965517,0.98965517,0.35566406,287,3,0,290,"model=mine,scope=dataset,dataset=3,phase=preopt-test"
100,32,2048,0,1,1,0,0.200000,3,100,1,0.300000,1.00000000,1.00000000,0.30761719,433,0,0,433,"model=mine,scope=dataset,dataset=3,phase=postopt-validation"
100,32,2048,0,1,1,0,0.200000,3,100,1,0.300000,0.99655172,0.99655172,0.30761719,289,1,0,290,"model=mine,scope=dataset,dataset=3,phase=postopt-test"
100,32,2048,0,1,1,0,0.200000,3,100,1,0.300000,0.91050808,0.91069233,0.42402344,0,0,0,0,"model=mine,scope=overall,phase=preopt-validation"
100,32,2048,0,1,1,0,0.200000,3,100,1,0.300000,0.93879310,0.93879310,0.42402344,0,0,0,0,"model=mine,scope=overall,phase=preopt-test"
100,32,2048,0,1,1,0,0.200000,3,100,1,0.300000,0.95344828,0.95344828,0.38725586,1106,54,0,1160,"model=mine,scope=overall,phase=postopt-test"
100,32,2048,0,1,1,0,0.200000,3,100,1,0.300000,0.94226328,0.94246859,0.38725586,0,0,0,0,"model=mine,scope=overall,phase=postopt-validation"
