dataset,generation,adaptive_mean,adaptive_std,naive_mean,naive_std
0,38,5.4,3.4409301068170506,6.8,1.9390719429665317
0,39,6.6,3.4985711369071804,5.8,3.4292856398964497
0,40,3.2,1.469693845669907,2.6,1.624807680927192
0,41,4.4,2.0591260281974,4.8,2.039607805437114
0,42,4.8,1.16619037896906,5.6,3.0724582991474434
0,43,3.6,1.019803902718557,5.0,1.7888543819998317
0,44,4.2,1.7204650534085255,5.8,2.227105745132009
0,45,2.6,1.624807680927192,5.4,1.8547236990991407
0,46,3.6,2.939387691339814,5.6,1.9595917942265424
0,47,3.8,2.039607805437114,5.6,1.3564659966250536
0,48,5.0,2.0,5.8,0.9797958971132712
0,49,5.2,2.227105745132009,5.8,1.469693845669907
0,50,3.2,1.16619037896906,5.0,0.8944271909999159
0,51,5.8,2.925747767665559,6.0,1.8973665961010275
0,52,3.6,1.3564659966250538,5.4,1.8547236990991407
0,53,5.8,2.0396078054371136,3.4,2.0591260281974
0,54,2.6,2.4166091947189146,7.0,0.6324555320336759
0,55,4.6,1.7435595774162693,6.0,1.2649110640673518
0,56,3.8,0.7483314773547882,6.2,3.6
0,57,5.6,1.0198039027185568,6.2,1.6
0,58,5.2,2.0396078054371136,6.0,1.0954451150103321
0,59,4.8,1.8330302779823362,3.6,1.7435595774162693
0,60,4.2,2.1354156504062622,5.0,1.6733200530681511
0,61,5.2,1.469693845669907,5.6,1.3564659966250536
0,62,5.4,2.1540659228538015,4.6,1.624807680927192
0,63,4.0,1.7888543819998317,6.8,2.039607805437114
0,64,5.8,2.7856776554368237,5.0,0.8944271909999159
0,65,4.4,1.4966629547095764,5.0,1.8973665961010275
0,66,5.6,2.244994432064365,4.8,1.7204650534085253
0,67,6.2,1.7204650534085253,4.4,2.0591260281974
0,68,6.6,3.4409301068170506,5.2,1.16619037896906
0,69,7.2,2.2271057451320084,4.2,2.638181191654584
0,70,6.6,2.33238075793812,4.0,1.2649110640673518
0,71,5.8,2.925747767665559,6.4,1.4966629547095764
0,72,5.4,2.0591260281974,5.2,3.9698866482558417
0,73,7.0,2.6076809620810595,6.4,3.1368774282716245
0,74,6.4,3.3823069050575527,6.0,2.756809750418044
0,75,6.6,2.870540018881465,6.2,2.9257477676655586
0,76,8.0,4.381780460041329,7.2,3.919183588453085
0,77,4.4,2.727636339397171,5.8,2.039607805437114
0,78,5.8,1.7204650534085253,4.8,2.785677655436824
0,79,6.6,1.8547236990991407,5.8,3.3704599092705436
0,80,4.6,1.2,7.2,3.059411708155671
0,81,4.4,1.2,5.4,3.4985711369071804
0,82,6.4,2.870540018881465,5.6,1.0198039027185568
0,83,4.4,1.8547236990991407,5.2,0.7483314773547882
0,84,5.0,1.2649110640673518,5.6,2.870540018881465
0,85,5.0,1.0954451150103321,5.0,2.5298221281347035
0,86,5.4,3.8262252939417984,5.8,2.1354156504062622
0,87,5.6,2.727636339397171,6.0,1.4142135623730951
0,88,6.0,1.0954451150103321,6.4,1.8547236990991407
0,89,5.4,2.1540659228538015,6.2,1.9390719429665317
0,90,5.4,2.244994432064365,6.4,1.0198039027185568
0,91,6.2,2.4819347291981715,5.8,0.7483314773547882
0,92,6.8,2.9257477676655586,6.6,1.624807680927192
0,93,6.4,1.4966629547095764,6.8,2.9257477676655586
0,94,7.6,2.5768197453450252,7.4,1.4966629547095764
0,95,6.2,1.6,5.4,1.9595917942265424
0,96,6.8,0.7483314773547882,7.2,2.6381811916545836
0,97,5.6,3.006659275674582,7.2,3.8678159211627436
0,98,8.2,3.54400902933387,7.2,3.7629775444453557
0,99,8.8,2.7129319932501073,8.4,3.5552777669262356
0,100,7.4,4.363484845854286,7.4,3.9293765408777004
0,101,7.0,2.3664319132398464,9.4,4.586937976471886
0,102,7.6,4.127953488110059,8.0,4.857983120596447
0,103,8.4,1.3564659966250536,8.2,3.1874754901018454
0,104,7.0,2.449489742783178,8.0,3.286335345030997
0,105,8.0,1.8973665961010275,8.2,3.3105890714493698
0,106,8.8,1.9390719429665317,7.2,2.9933259094191533
0,107,6.6,1.624807680927192,8.0,2.5298221281347035
0,108,7.2,2.2271057451320084,7.0,2.449489742783178
0,109,7.2,3.709447398198282,6.6,3.5552777669262356
0,110,7.4,3.006659275674582,6.6,1.7435595774162693
0,111,7.8,0.7483314773547882,5.6,3.006659275674582
0,112,5.6,1.3564659966250536,7.2,2.5612496949731396
0,113,7.0,1.7888543819998317,8.2,3.4871191548325386
0,114,4.4,2.244994432064365,7.4,1.8547236990991407
0,115,10.8,2.481934729198171,8.6,3.3823069050575527
0,116,7.8,2.315167380558045,9.4,2.1540659228538015
0,117,7.6,1.624807680927192,10.6,3.8781438859330635
0,118,8.4,0.8,8.6,1.624807680927192
0,119,9.8,2.039607805437114,7.8,2.3151673805580453
