0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-0.897694,-0.903361,-0.907304,-0.907371,-0.908057,-0.774550,-0.684713,-0.829345,-0.892316,-0.902706,-0.910624,-0.885060,-0.903915,-0.905454,-0.904555,-0.900839,-0.914055,-0.903208,-0.917724,-0.923758,-0.915511,-0.899679,-0.903402,-0.912625,-0.922165,-0.914942,-0.918017,-0.915424,-0.910965,-0.912610,-0.902894,-0.903947
-0.899246,-0.903396,-0.906905,-0.909525,-0.908016,-0.768562,-0.687136,-0.831773,-0.899406,-0.912172,-0.910197,-0.891534,-0.903625,-0.910120,-0.899559,-0.907390,-0.912257,-0.900305,-0.917966,-0.912099,-0.920201,-0.894371,-0.903318,-0.912129,-0.921745,-0.920290,-0.918347,-0.913417,-0.911678,-0.903987,-0.898339,-0.899428
-0.926042,-0.929238,-0.933015,-0.934994,-0.932358,-0.799819,-0.717083,-0.856476,-0.932586,-0.938086,-0.946312,-0.911189,-0.928298,-0.935856,-0.938979,-0.938872,-0.941068,-0.931537,-0.945133,-0.945044,-0.941589,-0.914556,-0.926932,-0.937885,-0.950696,-0.948178,-0.945279,-0.942907,-0.940129,-0.938159,-0.928493,-0.928977
-0.927522,-0.928158,-0.930515,-0.932131,-0.928072,-0.790500,-0.707717,-0.849764,-0.932991,-0.938858,-0.946108,-0.907136,-0.928476,-0.932828,-0.939112,-0.939578,-0.940168,-0.927718,-0.943409,-0.942365,-0.938407,-0.914485,-0.922023,-0.933280,-0.951316,-0.945886,-0.945721,-0.941801,-0.937453,-0.936522,-0.929600,-0.930916
-0.928941,-0.929121,-0.932748,-0.934241,-0.929786,-0.792573,-0.713330,-0.854556,-0.928025,-0.936038,-0.946428,-0.907379,-0.929724,-0.937239,-0.942066,-0.942407,-0.943953,-0.931553,-0.943441,-0.945788,-0.940867,-0.917911,-0.926578,-0.935890,-0.956501,-0.951221,-0.946062,-0.943933,-0.943872,-0.937938,-0.932758,-0.929839
-0.924147,-0.925421,-0.928059,-0.930611,-0.926241,-0.785382,-0.705527,-0.849547,-0.933462,-0.934181,-0.944936,-0.905338,-0.928206,-0.933235,-0.938998,-0.936610,-0.938303,-0.924814,-0.939543,-0.941391,-0.936636,-0.910376,-0.919839,-0.930502,-0.951179,-0.948662,-0.944920,-0.941194,-0.940140,-0.935027,-0.926899,-0.926938
-0.920292,-0.914990,-0.917408,-0.926387,-0.921330,-0.778672,-0.691400,-0.846833,-0.925106,-0.927523,-0.940755,-0.903712,-0.917072,-0.926538,-0.935704,-0.934220,-0.931985,-0.920439,-0.933583,-0.936152,-0.931101,-0.905648,-0.912701,-0.929353,-0.949901,-0.947353,-0.942661,-0.937022,-0.932713,-0.930327,-0.924574,-0.927042
-0.910583,-0.914670,-0.918559,-0.919711,-0.910254,-0.774582,-0.683497,-0.834302,-0.922958,-0.923884,-0.935024,-0.898177,-0.916729,-0.921528,-0.934856,-0.928453,-0.929781,-0.916503,-0.930356,-0.934576,-0.928453,-0.907252,-0.909793,-0.921318,-0.945205,-0.942365,-0.936732,-0.930638,-0.927666,-0.927002,-0.917838,-0.919480
-0.904201,-0.911098,-0.915811,-0.920372,-0.914656,-0.779691,-0.692270,-0.844495,-0.925817,-0.922999,-0.932466,-0.900731,-0.915351,-0.926673,-0.928577,-0.926608,-0.926544,-0.914250,-0.930339,-0.934936,-0.928252,-0.904496,-0.906569,-0.918383,-0.943325,-0.938463,-0.935143,-0.935623,-0.931233,-0.927170,-0.914007,-0.924128
-0.910146,-0.914454,-0.916667,-0.921981,-0.917662,-0.790965,-0.706018,-0.851586,-0.909922,-0.918804,-0.928952,-0.901894,-0.919831,-0.927313,-0.933245,-0.928865,-0.928999,-0.917360,-0.931730,-0.939946,-0.932369,-0.905644,-0.911770,-0.924457,-0.942216,-0.937592,-0.936078,-0.934604,-0.939248,-0.923574,-0.922220,-0.924599
