0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-0.509466,-0.602947,-0.603713,-0.624866,-0.641000,-0.641530,-0.654717,-0.651354,-0.644166,-0.646791,-0.647428,-0.640072,-0.604844,-0.569400,-0.422259,-0.211775,-0.468542,-0.596594,-0.624843,-0.636366,-0.646744,-0.652200,-0.660684,-0.655616,-0.670988,-0.659232,-0.649803,-0.648321,-0.628025,-0.594664,-0.430526,-0.076286
-0.566962,-0.663744,-0.662186,-0.689782,-0.697881,-0.693605,-0.708630,-0.703804,-0.699678,-0.696243,-0.698289,-0.690342,-0.652190,-0.616681,-0.436289,-0.178407,-0.520163,-0.661088,-0.682847,-0.699352,-0.701870,-0.711802,-0.707952,-0.713419,-0.724575,-0.707057,-0.685397,-0.694798,-0.663672,-0.624584,-0.441840,-0.068344
-0.546338,-0.656114,-0.665224,-0.691062,-0.701634,-0.702021,-0.722264,-0.714958,-0.716124,-0.713382,-0.710427,-0.699584,-0.652211,-0.614732,-0.410801,-0.147661,-0.495447,-0.657180,-0.682722,-0.699231,-0.703113,-0.715242,-0.718441,-0.718441,-0.727642,-0.724332,-0.702413,-0.698213,-0.669226,-0.619626,-0.414031,0.049533
-0.324152,-0.487135,-0.497414,-0.548721,-0.556951,-0.576855,-0.580953,-0.571258,-0.587987,-0.582851,-0.578688,-0.564961,-0.508695,-0.447031,-0.230996,0.000193,-0.247436,-0.474846,-0.533072,-0.537605,-0.573272,-0.578256,-0.592234,-0.597030,-0.618802,-0.604594,-0.588647,-0.583896,-0.526680,-0.478202,-0.239564,0.212055
-0.448634,-0.584745,-0.608652,-0.637059,-0.644848,-0.648278,-0.676240,-0.663979,-0.660242,-0.656243,-0.657868,-0.654186,-0.603457,-0.571805,-0.395128,-0.153416,-0.385340,-0.585004,-0.627424,-0.645671,-0.647823,-0.664762,-0.673426,-0.675947,-0.696875,-0.680000,-0.656296,-0.659577,-0.627224,-0.589048,-0.413769,-0.038697
-0.460988,-0.571265,-0.583942,-0.611328,-0.614171,-0.620879,-0.637386,-0.620574,-0.613671,-0.620068,-0.624710,-0.614344,-0.581620,-0.545559,-0.386430,-0.177472,-0.402752,-0.560013,-0.603489,-0.620926,-0.624606,-0.628805,-0.638360,-0.640393,-0.659418,-0.629340,-0.616771,-0.626076,-0.591125,-0.561350,-0.396859,-0.079398
-0.473683,-0.587487,-0.596557,-0.627356,-0.634889,-0.644004,-0.654119,-0.647331,-0.651483,-0.649759,-0.646671,-0.635626,-0.597557,-0.555391,-0.361732,-0.080021,-0.417361,-0.576683,-0.621301,-0.635986,-0.640130,-0.650343,-0.658690,-0.661005,-0.680151,-0.664537,-0.640283,-0.645661,-0.609480,-0.574564,-0.398038,-0.071908
-0.214134,-0.388931,-0.422621,-0.453750,-0.475139,-0.473652,-0.502149,-0.497663,-0.517420,-0.500078,-0.470714,-0.481033,-0.421427,-0.355310,-0.092877,0.255523,-0.183173,-0.373246,-0.431103,-0.464250,-0.483685,-0.502167,-0.509778,-0.504650,-0.524863,-0.514905,-0.491683,-0.482454,-0.440868,-0.388481,-0.164560,0.222574
-0.339032,-0.485043,-0.506315,-0.535257,-0.550614,-0.553522,-0.575546,-0.561394,-0.574305,-0.565412,-0.565158,-0.546146,-0.493201,-0.441144,-0.180035,0.161573,-0.298317,-0.480803,-0.529119,-0.554747,-0.567490,-0.576365,-0.585491,-0.584875,-0.603134,-0.589300,-0.560908,-0.563145,-0.523269,-0.473903,-0.253968,0.161358
-0.380524,-0.509632,-0.524631,-0.557394,-0.571128,-0.574788,-0.591383,-0.583779,-0.593963,-0.589382,-0.576391,-0.573312,-0.527503,-0.487444,-0.282058,-0.011659,-0.322387,-0.498774,-0.548089,-0.563451,-0.579935,-0.589075,-0.601566,-0.598034,-0.616781,-0.601882,-0.578787,-0.578370,-0.544986,-0.503079,-0.315417,0.026283
-0.364388,-0.502514,-0.521994,-0.554438,-0.563909,-0.569213,-0.586995,-0.581982,-0.585036,-0.583094,-0.574188,-0.568772,-0.524020,-0.480716,-0.273538,-0.007049,-0.305391,-0.486533,-0.536793,-0.559653,-0.574378,-0.583771,-0.597468,-0.594943,-0.611012,-0.599870,-0.577295,-0.575893,-0.541291,-0.497382,-0.307243,0.046197
