binning_mode,mode_name,num_levels,vector_dimension,dataset,uniform_validation,uniform_test,advanced_validation,advanced_test
0,uniform,30,8192,0,0.88452656,0.9862069,0.88452656,0.9862069
0,uniform,30,8192,1,0.76905312,0.62413793,0.76905312,0.62413793
0,uniform,30,8192,2,0.81293303,0.86551724,0.81293303,0.86551724
0,uniform,30,8192,3,0.96766744,0.96551724,0.96766744,0.96551724
0,uniform,35,512,0,0.86605081,0.98275862,0.86605081,0.98275862
0,uniform,35,512,1,0.86605081,0.92068966,0.86605081,0.92068966
0,uniform,35,512,2,0.76443418,0.83793103,0.76443418,0.83793103
0,uniform,35,512,3,0.96535797,0.97931034,0.96535797,0.97931034
0,uniform,35,1024,0,0.85450346,0.98275862,0.85450346,0.98275862
0,uniform,35,1024,1,0.84064665,0.84827586,0.84064665,0.84827586
0,uniform,35,1024,2,0.75981524,0.84482759,0.75981524,0.84482759
0,uniform,35,1024,3,0.94226328,0.95172414,0.94226328,0.95172414
0,uniform,35,1536,0,0.87759815,0.97586207,0.87759815,0.97586207
0,uniform,35,1536,1,0.72979215,0.93103448,0.72979215,0.93103448
0,uniform,35,1536,2,0.80138568,0.84482759,0.80138568,0.84482759
0,uniform,35,1536,3,0.926097,0.92413793,0.926097,0.92413793
0,uniform,35,2048,0,0.88221709,0.9862069,0.88221709,0.9862069
0,uniform,35,2048,1,0.87297921,0.90689655,0.87297921,0.90689655
0,uniform,35,2048,2,0.80600462,0.84482759,0.80600462,0.84482759
0,uniform,35,2048,3,0.93995381,0.93448276,0.93995381,0.93448276
0,uniform,35,3072,0,0.86836028,0.98275862,0.86836028,0.98275862
0,uniform,35,3072,1,0.86374134,0.92413793,0.86374134,0.92413793
0,uniform,35,3072,2,0.80600462,0.84827586,0.80600462,0.84827586
0,uniform,35,3072,3,0.93764434,0.93793103,0.93764434,0.93793103
0,uniform,35,4096,0,0.87528868,0.9862069,0.87528868,0.9862069
0,uniform,35,4096,1,0.8960739,0.94137931,0.8960739,0.94137931
0,uniform,35,4096,2,0.78752887,0.84482759,0.78752887,0.84482759
0,uniform,35,4096,3,0.94457275,0.94827586,0.94457275,0.94827586
0,uniform,35,5120,0,0.87528868,0.9862069,0.87528868,0.9862069
0,uniform,35,5120,1,0.87297921,0.96206897,0.87297921,0.96206897
0,uniform,35,5120,2,0.7852194,0.84482759,0.7852194,0.84482759
0,uniform,35,5120,3,0.93995381,0.94482759,0.93995381,0.94482759
0,uniform,35,6144,0,0.89145497,0.97931034,0.89145497,0.97931034
0,uniform,35,6144,1,0.88452656,0.97931034,0.88452656,0.97931034
0,uniform,35,6144,2,0.76674365,0.84482759,0.76674365,0.84482759
0,uniform,35,6144,3,0.94226328,0.93103448,0.94226328,0.93103448
0,uniform,35,7168,0,0.89376443,0.9862069,0.89376443,0.9862069
0,uniform,35,7168,1,0.87297921,0.94482759,0.87297921,0.94482759
0,uniform,35,7168,2,0.79214781,0.84482759,0.79214781,0.84482759
0,uniform,35,7168,3,0.94226328,0.94827586,0.94226328,0.94827586
0,uniform,35,8192,0,0.88683603,0.9862069,0.88683603,0.9862069
0,uniform,35,8192,1,0.8891455,0.97586207,0.8891455,0.97586207
0,uniform,35,8192,2,0.76905312,0.84482759,0.76905312,0.84482759
0,uniform,35,8192,3,0.94226328,0.94482759,0.94226328,0.94482759
0,uniform,40,512,0,0.84064665,0.97241379,0.84064665,0.97241379
0,uniform,40,512,1,0.87066975,0.97931034,0.87066975,0.97931034
0,uniform,40,512,2,0.77598152,0.82758621,0.77598152,0.82758621
0,uniform,40,512,3,0.93764434,0.96551724,0.93764434,0.96551724
0,uniform,40,1024,0,0.84295612,0.9862069,0.84295612,0.9862069
0,uniform,40,1024,1,0.83140878,0.96551724,0.83140878,0.96551724
0,uniform,40,1024,2,0.74595843,0.85172414,0.74595843,0.85172414
0,uniform,40,1024,3,0.93764434,0.94482759,0.93764434,0.94482759
0,uniform,40,1536,0,0.88683603,0.99655172,0.88683603,0.99655172
0,uniform,40,1536,1,0.83140878,0.97586207,0.83140878,0.97586207
0,uniform,40,1536,2,0.80369515,0.85172414,0.80369515,0.85172414
0,uniform,40,1536,3,0.93533487,0.94482759,0.93533487,0.94482759
0,uniform,40,2048,0,0.87066975,0.99310345,0.87066975,0.99310345
0,uniform,40,2048,1,0.81293303,0.96206897,0.81293303,0.96206897
0,uniform,40,2048,2,0.81062356,0.85172414,0.81062356,0.85172414
0,uniform,40,2048,3,0.95381062,0.95517241,0.95381062,0.95517241
0,uniform,40,3072,0,0.84064665,0.99655172,0.84064665,0.99655172
0,uniform,40,3072,1,0.83140878,0.99310345,0.83140878,0.99310345
0,uniform,40,3072,2,0.80138568,0.85172414,0.80138568,0.85172414
0,uniform,40,3072,3,0.93533487,0.96206897,0.93533487,0.96206897
0,uniform,40,4096,0,0.87066975,0.98965517,0.87066975,0.98965517
0,uniform,40,4096,1,0.83371824,0.95517241,0.83371824,0.95517241
0,uniform,40,4096,2,0.79445727,0.85862069,0.79445727,0.85862069
0,uniform,40,4096,3,0.93533487,0.95517241,0.93533487,0.95517241
0,uniform,40,5120,0,0.85681293,0.99655172,0.85681293,0.99655172
0,uniform,40,5120,1,0.82909931,0.99310345,0.82909931,0.99310345
0,uniform,40,5120,2,0.78060046,0.85862069,0.78060046,0.85862069
0,uniform,40,5120,3,0.9330254,0.94137931,0.9330254,0.94137931
0,uniform,40,6144,0,0.87066975,0.98275862,0.87066975,0.98275862
0,uniform,40,6144,1,0.83140878,0.99310345,0.83140878,0.99310345
0,uniform,40,6144,2,0.78983834,0.85172414,0.78983834,0.85172414
0,uniform,40,6144,3,0.93995381,0.95172414,0.93995381,0.95172414
0,uniform,40,7168,0,0.85681293,0.98275862,0.85681293,0.98275862
0,uniform,40,7168,1,0.84064665,0.99310345,0.84064665,0.99310345
0,uniform,40,7168,2,0.79445727,0.85172414,0.79445727,0.85172414
0,uniform,40,7168,3,0.95612009,0.97241379,0.95612009,0.97241379
0,uniform,40,8192,0,0.87297921,0.99655172,0.87297921,0.99655172
0,uniform,40,8192,1,0.83140878,0.99310345,0.83140878,0.99310345
0,uniform,40,8192,2,0.77598152,0.85862069,0.77598152,0.85862069
0,uniform,40,8192,3,0.93995381,0.95172414,0.93995381,0.95172414
0,uniform,45,512,0,0.82678984,0.9862069,0.82678984,0.9862069
0,uniform,45,512,1,0.86374134,0.88275862,0.86374134,0.88275862
0,uniform,45,512,2,0.78060046,0.81724138,0.78060046,0.81724138
0,uniform,45,512,3,0.93071594,0.97241379,0.93071594,0.97241379
0,uniform,45,1024,0,0.86836028,0.9862069,0.86836028,0.9862069
0,uniform,45,1024,1,0.85450346,0.81724138,0.85450346,0.81724138
0,uniform,45,1024,2,0.76674365,0.85172414,0.76674365,0.85172414
